#class tools::histo::h1d
#title Neutron Angular Distribution
#dimension 1
#axis fixed 180 0 180
#annotation axis_x.title 
#bin_number 182
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
57904,57904,57904,1159.57,859.984
3952,3952,3952,6015.02,9482.64
3689,3689,3689,9135.49,22931.4
2167,2167,2167,7457.95,25840.4
1094,1094,1094,4860.63,21687.2
576,576,576,3155.08,17333.2
479,479,479,3109.87,20233
501,501,501,3763.42,28311.8
545,545,545,4629.71,39370.8
627,627,627,5954.81,56604.7
632,632,632,6638.95,69790.6
620,620,620,7147.04,82439.3
634,634,634,7918.03,98940.6
657,657,657,8864.07,119646
665,665,665,9637.36,139724
691,691,691,10700.9,165776
682,682,682,11251.3,185678
731,731,731,12796.1,224057
726,726,726,13417.3,248024
674,674,674,13135,256035
739,739,739,15147.5,310540
695,695,695,14936.7,321066
697,697,697,15671.2,352407
723,723,723,16989.6,399293
713,713,713,17476.1,428413
725,725,725,18492.4,471737
742,742,742,19662.2,521088
686,686,686,18870.4,519149
721,721,721,20552.8,585937
709,709,709,20921.6,617430
684,684,684,20862.9,636404
637,637,637,20053.9,631383
670,670,670,21777.5,707906
650,650,650,21776.5,729619
640,640,640,22087.9,762356
626,626,626,22223.1,788973
643,643,643,23474.9,857082
645,645,645,24192.9,907494
576,576,576,22171.5,853478
622,622,622,24561,969893
600,600,600,24306.2,984700
596,596,596,24734,1.02651e+06
584,584,584,24826,1.05541e+06
571,571,571,24851.7,1.08167e+06
576,576,576,25632.1,1.14068e+06
536,536,536,24393.1,1.11016e+06
556,556,556,25848.1,1.20171e+06
591,591,591,28083,1.33449e+06
533,533,533,25843.9,1.25316e+06
499,499,499,24710.8,1.22374e+06
534,534,534,26972.7,1.36246e+06
551,551,551,28382.5,1.46206e+06
505,505,505,26511.4,1.39184e+06
505,505,505,27014.7,1.44518e+06
493,493,493,26868.7,1.4644e+06
471,471,471,26131.9,1.44988e+06
504,504,504,28476.7,1.60902e+06
474,474,474,27266.8,1.56856e+06
431,431,431,25217.5,1.4755e+06
441,441,441,26228.6,1.55999e+06
441,441,441,26688.4,1.61516e+06
436,436,436,26797.9,1.64712e+06
403,403,403,25190.6,1.57464e+06
388,388,388,24637.6,1.5645e+06
361,361,361,23285,1.50194e+06
371,371,371,24298.8,1.59149e+06
375,375,375,24931,1.65751e+06
364,364,364,24565.3,1.65786e+06
378,378,378,25894.1,1.77386e+06
338,338,338,23491.7,1.63276e+06
319,319,319,22492,1.58588e+06
294,294,294,21012.9,1.50187e+06
335,335,335,24279.9,1.75977e+06
273,273,273,20065.6,1.47485e+06
287,287,287,21374.6,1.59191e+06
264,264,264,19932.5,1.50497e+06
273,273,273,20879.3,1.59689e+06
234,234,234,18134.5,1.40541e+06
262,262,262,20562.8,1.61387e+06
227,227,227,18041,1.43384e+06
262,262,262,21091.6,1.69795e+06
207,207,207,16874,1.37554e+06
227,227,227,18732.9,1.54592e+06
204,204,204,17033.1,1.4222e+06
214,214,214,18082.2,1.5279e+06
210,210,210,17946.5,1.53372e+06
169,169,169,14616.9,1.26424e+06
170,170,170,14874,1.3014e+06
177,177,177,15658.3,1.38523e+06
164,164,164,14677.1,1.31353e+06
155,155,155,14026,1.26924e+06
192,192,192,17570.4,1.60793e+06
159,159,159,14702.8,1.3596e+06
172,172,172,16083.2,1.50391e+06
143,143,143,13520.5,1.27836e+06
126,126,126,12031.9,1.14895e+06
124,124,124,11965.8,1.15468e+06
147,147,147,14332.1,1.39735e+06
152,152,152,14967,1.47376e+06
130,130,130,12939.7,1.28798e+06
110,110,110,11052.7,1.11058e+06
114,114,114,11567.7,1.17379e+06
119,119,119,12194.2,1.24958e+06
101,101,101,10458.2,1.08292e+06
122,122,122,12750.7,1.33263e+06
94,94,94,9915.72,1.04598e+06
75,75,75,7985.47,850241
96,96,96,10319.9,1.10938e+06
80,80,80,8681.01,942006
91,91,91,9967.94,1.09187e+06
87,87,87,9607.51,1.06097e+06
93,93,93,10367.6,1.15579e+06
80,80,80,9004.18,1.01345e+06
92,92,92,10439,1.18449e+06
72,72,72,8239.58,942931
69,69,69,7968.72,920304
97,97,97,11297.9,1.3159e+06
73,73,73,8580.78,1.00863e+06
91,91,91,10775.6,1.27597e+06
73,73,73,8720.01,1.04163e+06
52,52,52,6264.12,754604
69,69,69,8382.29,1.01831e+06
67,67,67,8204.01,1.00457e+06
52,52,52,6423.12,793397
49,49,49,6099.65,759306
75,75,75,9410.98,1.18089e+06
54,54,54,6830.19,863921
54,54,54,6885.61,877996
57,57,57,7324.44,941187
52,52,52,6733.8,872006
55,55,55,7173.49,935622
45,45,45,5919.92,778792
45,45,45,5963.94,790415
45,45,45,6007.49,802001
45,45,45,6048.36,812953
63,63,63,8539.13,1.15742e+06
36,36,36,4912.52,670361
30,30,30,4125.56,567342
36,36,36,4986.8,690786
39,39,39,5441.18,759142
33,33,33,4634.41,650843
35,35,35,4952.91,700899
29,29,29,4132.46,588871
29,29,29,4160.71,596952
29,29,29,4189.31,605186
27,27,27,3927.55,571323
31,31,31,4541.07,665207
22,22,22,3243.53,478206
29,29,29,4306.37,639480
29,29,29,4336.28,648394
26,26,26,3912.02,588612
28,28,28,4240.65,642257
16,16,16,2439.49,371946
33,33,33,5063.41,776917
25,25,25,3863.41,597041
33,33,33,5129.54,797340
21,21,21,3286.66,514389
16,16,16,2519.57,396768
12,12,12,1902.4,301596
14,14,14,2232.81,356103
19,19,19,3051.82,490190
19,19,19,3067.07,495103
12,12,12,1949.65,316761
16,16,16,2612.8,426671
18,18,18,2961.49,487246
9,9,9,1489.66,246566
11,11,11,1831.14,304827
7,7,7,1172.34,196339
12,12,12,2020.07,340058
8,8,8,1355.89,229804
7,7,7,1192.55,203168
11,11,11,1886.44,323516
8,8,8,1380.75,238310
10,10,10,1736.2,301440
1,1,1,174.747,30536.4
2,2,2,350.721,61502.7
3,3,3,528.964,93267.6
0,0,0,0,0
2,2,2,356.438,63524.1
0,0,0,0,0
0,0,0,0,0
